Solves;Best;Best Ao5;Best Ao12;Session Avg;Worst;Ao5;Ao12
211;0.13;0.21;0.25;0.46;2.82;0.4;0.58
211;0.13;0.21;0.25;0.46;2.82;0.4;0.58
211;0.13;0.21;0.25;0.46;2.82;0.4;0.58
211;0.13;0.21;0.25;0.46;2.82;0.4;0.58
211;0.13;0.21;0.25;0.46;2.82;0.4;0.58
211;0.13;0.21;0.25;0.46;2.82;0.4;0.58
211;0.13;0.21;0.25;0.46;2.82;0.4;0.58
211;0.13;0.21;0.25;0.46;2.82;0.4;0.58
211;0.13;0.21;0.25;0.46;2.82;0.4;0.58
211;0.13;0.21;0.25;0.46;2.82;0.4;0.58
211;0.13;0.21;0.25;0.46;2.82;0.4;0.58
211;0.13;0.21;0.25;0.46;2.82;0.4;0.58
211;0.13;0.21;0.25;0.46;2.82;0.4;0.58
211;0.13;0.21;0.25;0.46;2.82;0.4;0.58
211;0.13;0.21;0.25;0.46;2.82;0.4;0.58
211;0.13;0.21;0.25;0.46;2.82;0.4;0.58
211;0.13;0.21;0.25;0.46;2.82;0.4;0.58
211;0.13;0.21;0.25;0.46;2.82;0.4;0.58
211;0.13;0.21;0.25;0.46;2.82;0.4;0.58
211;0.13;0.21;0.25;0.46;2.82;0.4;0.58
211;0.13;0.21;0.25;0.46;2.82;0.4;0.58
211;0.13;0.21;0.25;0.46;2.82;0.4;0.58
211;0.13;0.21;0.25;0.46;2.82;0.4;0.58
211;0.13;0.21;0.25;0.46;2.82;0.4;0.58
211;0.13;0.21;0.25;0.46;2.82;0.4;0.58
211;0.13;0.21;0.25;0.46;2.82;0.4;0.58
211;0.13;0.21;0.25;0.46;2.82;0.4;0.58
211;0.13;0.21;0.25;0.46;2.82;0.4;0.58
211;0.13;0.21;0.25;0.46;2.82;0.4;0.58
211;0.13;0.21;0.25;0.46;2.82;0.4;0.58
211;0.13;0.21;0.25;0.46;2.82;0.4;0.58
211;0.13;0.21;0.25;0.46;2.82;0.4;0.58
211;0.13;0.21;0.25;0.46;2.82;0.4;0.58
211;0.13;0.21;0.25;0.46;2.82;0.4;0.58
211;0.13;0.21;0.25;0.46;2.82;0.4;0.58
211;0.13;0.21;0.25;0.46;2.82;0.4;0.58
212;0.13;0.21;0.25;0.46;2.82;0.4;0.65
212;0.13;0.21;0.25;0.46;2.82;0.4;0.65
212;0.13;0.21;0.25;0.46;2.82;0.4;0.65
212;0.13;0.21;0.25;0.46;2.82;0.4;0.65
212;0.13;0.21;0.25;0.46;2.82;0.4;0.65
212;0.13;0.21;0.25;0.46;2.82;0.4;0.65
212;0.13;0.21;0.25;0.46;2.82;0.4;0.65
212;0.13;0.21;0.25;0.46;2.82;0.4;0.65
212;0.13;0.21;0.25;0.46;2.82;0.4;0.65
212;0.13;0.21;0.25;0.46;2.82;0.4;0.65
213;0.13;0.21;0.25;0.47;11.95;0.76;0.84
213;0.13;0.21;0.25;0.47;11.95;0.76;0.84
213;0.13;0.21;0.25;0.47;11.95;0.76;0.84
213;0.13;0.21;0.25;0.47;11.95;0.76;0.84
213;0.13;0.21;0.25;0.47;11.95;0.76;0.84
213;0.13;0.21;0.25;0.47;11.95;0.76;0.84
213;0.13;0.21;0.25;0.47;11.95;0.76;0.84
213;0.13;0.21;0.25;0.47;11.95;0.76;0.84
213;0.13;0.21;0.25;0.47;11.95;0.76;0.84
213;0.13;0.21;0.25;0.47;11.95;0.76;0.84
213;0.13;0.21;0.25;0.47;11.95;0.76;0.84
213;0.13;0.21;0.25;0.47;11.95;0.76;0.84
213;0.13;0.21;0.25;0.47;11.95;0.76;0.84
213;0.13;0.21;0.25;0.47;11.95;0.76;0.84
213;0.13;0.21;0.25;0.47;11.95;0.76;0.84
213;0.13;0.21;0.25;0.47;11.95;0.76;0.84
